OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,SERIES END,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,GN/LS,COVERAGE,DEF FRONT,PROTECTION (D),PENALTY
SUSQUEHANNA,D,1,1,1,L,,0,10,-28,UPFIELD,,20,Z ORBIT,BONE OPEN CON,LT,YES,INVERT,11,Run,,IZ,ARC OPTION,L,,C,,,Rush,R,,1,NINJA,OVER,,
SUSQUEHANNA,D,2,1,1,L,,2,9,-29,UPFIELD,,20,,DOUBLES,RT,,WEAK,23,Pass,,3 STEP,,,,,STICK,,Incomplete,Y,1,0,CLUB WEAK,CAT,6A0F,
SUSQUEHANNA,D,3,1,1,L,PUNT,3,9,-29,UPFIELD,,20,,DOUBLES,RT,,WEAK,23,Pass,,5 STEP,,,,,CROSS,SMASH,Incomplete,J,9,0,SOLO,CAT,6T0B,
SUSQUEHANNA,D,4,1,2,R,,0,10,-15,BACKED UP,,20,J ORBIT,FOX CUT,LT,,SPLIT,21,Run,,MZ,READ OPTION,R,,C,,,Rush,R,,4,TREY,PANTHER,,
SUSQUEHANNA,D,5,1,2,R,,2,6,-19,BACKED UP,,20,,TRIPS,LT,,WEAK,32,Pass,,5 STEP,,,,,CROSS,DIG,Incomplete,Z,4,0,FIRE,CAT,6A0F,
SUSQUEHANNA,D,6,1,2,R,,3,6,-19,BACKED UP,,20,J MESH,FOX CUT,LT,,SPLIT,21,Run,,Q POWER READ,,L,,A,,,Rush,Q,,7,CLUB,CAT,,
SUSQUEHANNA,D,7,1,2,M,,1,10,-26,UPFIELD,,20,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,VERTS,,Incomplete,R,2,0,BRILLO,EVEN,6A2B,
SUSQUEHANNA,D,8,1,2,M,FUMBLE,2,10,-26,UPFIELD,,20,,FOX,RT,,SPLIT,21,Run,,MZ,LEAD,L,,C,,,Fumble,R,,-5,3,CAT,,
SUSQUEHANNA,D,9,1,3,L,,0,10,-27,UPFIELD,,20,,WOLF OFF,LT,,STRONG,23,Run,,IZ,ARC,R,,B,,,Rush,R,,0,FIRE,CAT,,
SUSQUEHANNA,D,10,1,3,L,,2,10,-27,UPFIELD,,20,,FOX,RT,,PISTOL KING,21,Run,RPO,IZ,BASE,L,,A,SLANTS,,Rush,R,,2,TRAP,CAT,,
SUSQUEHANNA,D,11,1,3,L,PUNT,3,8,-29,UPFIELD,,20,,FOX,RT,,PISTOL QUEEN,21,Run,,IZ,READ OPTION,L,,C,,,Rush,Q,,-3,FIRE,CAT,,
SUSQUEHANNA,D,12,1,4,L,,0,10,-33,UPFIELD,,20,,FOX,RT,,SPLIT,21,Pass,,PAP,READ OPTION,L,,,DOUBLE GO,,Complete,R,1,17,SOLO,CAT,6A0B,
SUSQUEHANNA,D,13,1,4,R,,1,10,50,UPFIELD,,20,J MESH,FOX CUT,LT,,SPLIT,21,Run,,Q POWER,,L,,A,,,Rush,Q,,-3,CLUB,CAT,,
SUSQUEHANNA,D,14,1,4,R,,2,13,-47,UPFIELD,,20,,DOUBLES,LT,,STRONG,22,Pass,,3 STEP,,,,,HAMMER,DRAGON,Sack,Q,,-2,CLUB WEAK,EVEN,60 MAN,
SUSQUEHANNA,D,15,1,4,R,PUNT,3,15,-45,UPFIELD,,20,,TRIPS,LT,,STRONG,41,Run,RPO,Q DRAW,,,,A,STICK,HITCH,Rush,Q,,7,FIRE,,,
SUSQUEHANNA,D,16,2,5,R,,0,10,-11,BACKED UP,,20,,FOX,LT,,PISTOL QUEEN,21,Run,,MIDLINE,BASE,L,,E-Alley,,,Rush,Q,,9,SOLO,CAT,,
SUSQUEHANNA,D,17,2,5,R,,2,1,-20,UPFIELD,,20,,WOLF OFF,RT,,STRONG,23,Run,,MIDLINE,BASE,L,,D,,,Rush,Q,,8,FIRE,CAT,,
SUSQUEHANNA,D,18,2,5,R,,1,10,-28,UPFIELD,,20,Z ORBIT,BONE OPEN CON,LT,,INVERT,11,Pass,SCR,R SLIP SCR WK,,R,,,,,Sack,Q,,-11,NINJA,OVER,,
SUSQUEHANNA,D,19,2,5,M,,2,21,-17,BACKED UP,,20,,DOUBLES,LT,,STRONG,22,Pass,,5 STEP,,,,,SHILO,,Incomplete,Y,2,0,TREY WK MAX,DOG,6A0B,
SUSQUEHANNA,D,20,2,5,R,PUNT,3,21,-17,BACKED UP,,20,,TRIPS,LT,,STRONG,41,Run,,MIDLINE,,R,,A,,,Rush,R,,2,1,,,
SUSQUEHANNA,D,21,2,6,R,,0,10,-25,UPFIELD,,20,,WOLF OFF,RT,,STRONG,23,Pass,RPO,MIDLINE,,L,,,WAGGLE,,Incomplete,Y,3,0,TREY WK MAX,DOG,,
SUSQUEHANNA,D,22,2,6,R,,2,10,-25,UPFIELD,,20,,FOX CUT,LT,,SPLIT,21,Run,,MZ,LEAD,R,,E-Alley,,,Rush,R,,-10,HOT,CAT,,
SUSQUEHANNA,D,23,2,6,R,,2,20,-15,BACKED UP,,20,,TRIPS,LT,,STRONG,41,Pass,,3 STEP,,,,,STICK,GO,Complete,J,2,12,TREY MAX,CAT,6A0B,
SUSQUEHANNA,D,24,2,6,L,PUNT,3,8,-27,UPFIELD,,20,,DOUBLES CUT,RT,,STRONG,22,Pass,,5 STEP,,,,,SHOUT,VERT SWITCH,Complete,Y,3,4,FIRE,CAT,6A0B,
SUSQUEHANNA,D,25,2,7,M,,0,10,-10,BACKED UP,,20,,FOX,LT,,PISTOL QUEEN,21,Run,,MIDLINE,BASE,L,,E-Alley,,,Rush,Q,,0,CLUB,PANTHER,,
SUSQUEHANNA,D,26,2,7,R,,2,10,-10,BACKED UP,,20,J MESH,FOX CUT,LT,,SPLIT,21,Run,,Q POWER,,L,,B,,,Rush,Q,,3,SOLO,CAT,,
SUSQUEHANNA,D,27,2,7,M,,3,7,-13,BACKED UP,,20,,FOX,RT,,PISTOL KING,21,Run,,IZ,READ OPTION,R,,C,,,Rush,R,,9,FIRE,,,
SUSQUEHANNA,D,28,2,7,L,,1,10,-22,UPFIELD,,20,,DOUBLES CUT,RT,,STRONG,22,Pass,,5 STEP,,,,,MESH SPOT,,Complete,R,1,-4,CLUB WEAK,EVEN,60 MAN,
SUSQUEHANNA,D,29,2,7,R,INT,2,14,-18,BACKED UP,,20,,DOUBLES TIGHT,LT,,STRONG,22,Pass,,5 STEP,,,,,CROSS,HOSS,Interception,J,6,0,CLUB WEAK,CAT,60 MAN,
SUSQUEHANNA,D,30,2,8,L,HALF,0,10,-35,UPFIELD,,20,,TRIPS,RT,,STRONG,41,Run,,IZ,READ,L,,C,,,Rush,Q,,4,TREY,EVEN,,
SUSQUEHANNA,D,31,3,9,R,,0,10,-35,UPFIELD,,20,,FOX,LT,,SPLIT,21,Run,,IZ,BASE,L,,A,,,Rush,R,,5,3,CAT,,
SUSQUEHANNA,D,32,3,9,M,,2,5,-40,UPFIELD,,20,,FOX,RT,,SPLIT,21,Run,,MZ,LEAD,L,,A,,,Rush,R,,-2,FIRE,OVER,,
SUSQUEHANNA,D,33,3,9,M,PUNT,3,7,-38,UPFIELD,,20,,DOUBLES,LT,,STRONG,22,Pass,,3 STEP,,,,,STICK,,Incomplete,Y,1,0,7,EVEN,6A2B,
